Title,Link,Difficulty,Topic
"Word Break","https://leetcode.com/problems/word-break","MEDIUM","Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
"Subarray Product Less Than K","https://leetcode.com/problems/subarray-product-less-than-k","MEDIUM","Array, Binary Search, Sliding Window, Prefix Sum"
"String Compression","https://leetcode.com/problems/string-compression","MEDIUM","Two Pointers, String"
"LFU Cache","https://leetcode.com/problems/lfu-cache","HARD","Hash Table, Linked List, Design, Doubly-Linked List"
"Distinct Subsequences","https://leetcode.com/problems/distinct-subsequences","HARD","String, Dynamic Programming"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Maximum Frequency Stack","https://leetcode.com/problems/maximum-frequency-stack","HARD","Hash Table, Stack, Design, Ordered Set"
"Count the Number of Fair Pairs","https://leetcode.com/problems/count-the-number-of-fair-pairs","MEDIUM","Array, Two Pointers, Binary Search, Sorting"
"Palindromic Substrings","https://leetcode.com/problems/palindromic-substrings","MEDIUM","Two Pointers, String, Dynamic Programming"
"Design a Text Editor","https://leetcode.com/problems/design-a-text-editor","HARD","Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
"Height Checker","https://leetcode.com/problems/height-checker","EASY","Array, Sorting, Counting Sort"
"Check If a Number Is Majority Element in a Sorted Array","https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array","EASY","Array, Binary Search"
"Beautiful Towers I","https://leetcode.com/problems/beautiful-towers-i","MEDIUM","Array, Stack, Monotonic Stack"
"Beautiful Towers II","https://leetcode.com/problems/beautiful-towers-ii","MEDIUM","Array, Stack, Monotonic Stack"
"Course Schedule II","https://leetcode.com/problems/course-schedule-ii","MEDIUM","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Check Whether Two Strings are Almost Equivalent","https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent","EASY","Hash Table, String, Counting"
"Split Array Largest Sum","https://leetcode.com/problems/split-array-largest-sum","HARD","Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Beautiful Arrangement","https://leetcode.com/problems/beautiful-arrangement","MEDIUM","Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
"Binary Tree Maximum Path Sum","https://leetcode.com/problems/binary-tree-maximum-path-sum","HARD","Dynamic Programming, Tree, Depth-First Search, Binary Tree"
"Maximum Product of Three Numbers","https://leetcode.com/problems/maximum-product-of-three-numbers","EASY","Array, Math, Sorting"
"Integer to Roman","https://leetcode.com/problems/integer-to-roman","MEDIUM","Hash Table, Math, String"
"Asteroid Collision","https://leetcode.com/problems/asteroid-collision","MEDIUM","Array, Stack, Simulation"
"Largest Number","https://leetcode.com/problems/largest-number","MEDIUM","Array, String, Greedy, Sorting"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Coin Change","https://leetcode.com/problems/coin-change","MEDIUM","Array, Dynamic Programming, Breadth-First Search"
"Meeting Rooms II","https://leetcode.com/problems/meeting-rooms-ii","MEDIUM","Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
