Title,Link,Difficulty,Topic
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"First Unique Character in a String","https://leetcode.com/problems/first-unique-character-in-a-string","EASY","Hash Table, String, Queue, Counting"
"Fraction to Recurring Decimal","https://leetcode.com/problems/fraction-to-recurring-decimal","MEDIUM","Hash Table, Math, String"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Minimum Path Sum","https://leetcode.com/problems/minimum-path-sum","MEDIUM","Array, Dynamic Programming, Matrix"
"String Compression","https://leetcode.com/problems/string-compression","MEDIUM","Two Pointers, String"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Find Minimum in Rotated Sorted Array","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Decode Ways","https://leetcode.com/problems/decode-ways","MEDIUM","String, Dynamic Programming"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Minimize the Maximum of Two Arrays","https://leetcode.com/problems/minimize-the-maximum-of-two-arrays","MEDIUM","Math, Binary Search, Number Theory"
"Best Time to Buy and Sell Stock II","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Valid Arrangement of Pairs","https://leetcode.com/problems/valid-arrangement-of-pairs","HARD","Depth-First Search, Graph, Eulerian Circuit"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Construct Smallest Number From DI String","https://leetcode.com/problems/construct-smallest-number-from-di-string","MEDIUM","String, Backtracking, Stack, Greedy"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Power of Three","https://leetcode.com/problems/power-of-three","EASY","Math, Recursion"
"Longest Increasing Subsequence","https://leetcode.com/problems/longest-increasing-subsequence","MEDIUM","Array, Binary Search, Dynamic Programming"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Minimum Cost Homecoming of a Robot in a Grid","https://leetcode.com/problems/minimum-cost-homecoming-of-a-robot-in-a-grid","MEDIUM","Array, Greedy"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Jump Game","https://leetcode.com/problems/jump-game","MEDIUM","Array, Dynamic Programming, Greedy"
"Count Palindromic Subsequences","https://leetcode.com/problems/count-palindromic-subsequences","HARD","String, Dynamic Programming"
"Range Product Queries of Powers","https://leetcode.com/problems/range-product-queries-of-powers","MEDIUM","Array, Bit Manipulation, Prefix Sum"
"Keep Multiplying Found Values by Two","https://leetcode.com/problems/keep-multiplying-found-values-by-two","EASY","Array, Hash Table, Sorting, Simulation"
"Count Number of Texts","https://leetcode.com/problems/count-number-of-texts","MEDIUM","Hash Table, Math, String, Dynamic Programming"
"Find All Good Indices","https://leetcode.com/problems/find-all-good-indices","MEDIUM","Array, Dynamic Programming, Prefix Sum"
"Sliding Window Maximum","https://leetcode.com/problems/sliding-window-maximum","HARD","Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
"Successful Pairs of Spells and Potions","https://leetcode.com/problems/successful-pairs-of-spells-and-potions","MEDIUM","Array, Two Pointers, Binary Search, Sorting"
"Determine if Two Events Have Conflict","https://leetcode.com/problems/determine-if-two-events-have-conflict","EASY","Array, String"
